iter	RMSE
0	0.9819716561
1	0.9664064699
2	0.9503364593
3	0.9346829094
4	0.919908348
5	0.9058477864
6	0.8903175157
7	0.8751645269
8	0.8631093152
9	0.8496802601
10	0.835480675
11	0.8244182508
12	0.812505559
13	0.7994990334
14	0.7865185975
15	0.7737343608
16	0.7633602372
17	0.7518629024
18	0.7409059462
19	0.7302114805
20	0.7197035879
21	0.7101645462
22	0.70043332
23	0.6933354276
24	0.6846132415
25	0.6752126268
26	0.6669612832
27	0.6578843078
28	0.6494525771
29	0.6418829814
30	0.6326666398
31	0.6248029216
32	0.6175814055
33	0.6101655777
34	0.6034327109
35	0.5975154049
36	0.5910538564
37	0.5847449776
38	0.5791360021
39	0.5733854689
40	0.5674884659
41	0.5618098409
42	0.5573576287
43	0.5516585354
44	0.5465916252
45	0.5401937385
46	0.5345935605
47	0.5293750988
48	0.5245971904
49	0.5189899763
50	0.5141152168
51	0.5104105363
52	0.5063816239
53	0.5017324752
54	0.4972196847
55	0.4936769678
56	0.4896972088
57	0.4856187199
58	0.4822834735
59	0.4793932437
60	0.4762651257
61	0.4720108981
62	0.4695731953
63	0.4662633366
64	0.4636312592
65	0.4607256807
66	0.4580327305
67	0.4547004387
68	0.4515391865
69	0.449736826
70	0.4476219867
71	0.4454341061
72	0.4424587736
73	0.4398884564
74	0.437814588
75	0.4355223885
76	0.4334174593
77	0.4313551051
78	0.4298858812
79	0.4278116604
80	0.4257351354
81	0.4239639878
82	0.4225291889
83	0.4202574361
84	0.4186047923
85	0.416746013
86	0.4159092277
87	0.4141123535
88	0.411848433
89	0.4096762709
90	0.4081093328
91	0.406438447
92	0.4043973039
93	0.4027720038
94	0.4011337584
95	0.3997130175
96	0.3978833906
97	0.396393966
98	0.3950181623
99	0.3940968529
100	0.3925983292
101	0.3911879073
102	0.3895650701
103	0.3885998383
104	0.3876119737
105	0.3863901513
106	0.3850478233
107	0.3842449194
108	0.3828749847
109	0.3816112753
110	0.3807818131
111	0.3791918457
112	0.3779869422
113	0.376785757
114	0.3758873368
115	0.3748911304
116	0.3740756065
117	0.3730308742
118	0.3719332916
119	0.3709861244
120	0.3701212258
121	0.3692301404
122	0.3682593974
123	0.3672844071
124	0.3666802544
125	0.3659270444
126	0.364976306
127	0.364350984
128	0.3636052019
129	0.3628612844
130	0.3619275293
131	0.3610251562
132	0.3602963995
133	0.3594599717
134	0.3585826982
135	0.3577520924
136	0.3570518526
137	0.3564059075
138	0.3562548913
139	0.3559380458
140	0.355276286
141	0.3547547707
142	0.3539324895
143	0.3534526981
144	0.3525648982
145	0.3519586539
146	0.351457978
147	0.3509769699
148	0.3502256351
149	0.349653919
150	0.3490683548
