iter	Passed	Remaining
0	5	5947
1	7	3628
2	9	3096
3	9	2460
4	10	2171
5	12	2027
6	14	1995
7	15	1910
8	16	1841
9	18	1803
10	19	1741
11	20	1717
12	21	1668
13	23	1622
14	24	1608
15	25	1570
16	60	3506
17	76	4161
18	86	4441
19	92	4523
20	98	4599
21	103	4601
22	109	4638
23	115	4691
24	129	5047
25	146	5474
26	150	5421
27	152	5289
28	153	5146
29	154	4993
30	155	4861
31	156	4745
32	185	5429
33	191	5431
34	197	5450
35	203	5438
36	209	5459
37	217	5497
38	224	5525
39	230	5529
40	235	5498
41	240	5478
42	245	5453
43	248	5407
44	261	5551
45	270	5606
46	288	5851
47	295	5858
48	302	5872
49	309	5888
50	317	5907
51	318	5808
52	319	5711
53	320	5622
54	321	5531
55	322	5443
56	323	5359
57	325	5285
58	326	5210
59	327	5134
60	328	5054
61	329	4982
62	330	4913
63	331	4846
64	332	4776
65	333	4714
66	334	4654
67	335	4598
68	336	4535
69	336	4472
70	353	4630
71	356	4590
72	358	4556
73	363	4545
74	365	4505
75	366	4456
76	368	4417
77	374	4431
78	380	4441
79	386	4443
80	389	4423
81	397	4450
82	403	4460
83	405	4420
84	406	4380
85	417	4440
86	420	4414
87	426	4423
88	432	4426
89	440	4452
90	449	4485
91	456	4505
92	462	4510
93	470	4535
94	475	4528
95	483	4551
96	492	4584
97	496	4574
98	504	4588
99	506	4559
100	515	4591
101	523	4609
102	533	4642
103	539	4651
104	546	4656
105	554	4674
106	561	4683
107	567	4683
108	574	4696
109	580	4700
110	585	4687
111	590	4684
112	596	4685
113	602	4683
114	608	4686
115	614	4686
116	618	4668
117	623	4663
118	628	4655
119	635	4662
120	640	4655
121	646	4655
122	652	4653
123	658	4649
124	663	4646
125	669	4643
126	674	4637
127	680	4634
128	690	4662
129	697	4668
130	702	4662
131	708	4657
132	714	4658
133	720	4657
134	726	4655
135	734	4666
136	740	4666
137	746	4663
138	749	4643
139	753	4631
140	759	4625
141	765	4623
142	770	4619
143	776	4617
144	782	4614
145	794	4644
146	800	4646
147	807	4647
148	813	4645
149	819	4642
150	824	4633
151	827	4614
152	827	4582
153	830	4563
154	832	4538
155	834	4513
156	835	4486
157	837	4462
158	839	4440
159	841	4419
160	847	4415
161	850	4400
162	852	4378
163	856	4368
164	860	4356
165	864	4345
166	869	4338
167	874	4329
168	878	4321
169	883	4312
170	888	4305
171	889	4282
172	890	4255
173	893	4240
174	895	4223
175	897	4201
176	901	4193
177	904	4178
178	910	4174
179	915	4171
180	919	4162
181	925	4158
182	930	4156
183	938	4162
184	942	4153
185	944	4131
186	947	4121
187	950	4105
188	954	4096
189	962	4103
190	965	4091
191	970	4084
192	971	4064
193	976	4055
194	977	4035
195	978	4015
196	979	3994
197	982	3980
198	987	3975
199	992	3969
200	998	3969
201	1003	3963
202	1007	3953
203	1008	3935
204	1014	3933
205	1016	3916
206	1018	3901
207	1022	3894
208	1027	3889
209	1032	3885
210	1038	3882
211	1043	3877
212	1048	3874
213	1051	3860
214	1056	3856
215	1057	3838
216	1064	3839
217	1069	3837
218	1072	3825
219	1076	3815
220	1081	3811
221	1084	3800
222	1088	3792
223	1089	3775
224	1094	3770
225	1098	3763
226	1100	3746
227	1102	3732
228	1105	3723
229	1110	3719
230	1113	3706
231	1117	3699
232	1123	3697
233	1127	3692
234	1133	3688
235	1140	3691
236	1143	3679
237	1148	3677
238	1153	3671
239	1154	3654
240	1158	3647
241	1160	3635
242	1165	3629
243	1171	3629
244	1179	3634
245	1185	3634
246	1189	3625
247	1191	3612
248	1196	3608
249	1201	3603
250	1204	3593
251	1206	3581
252	1209	3571
253	1214	3565
254	1219	3561
255	1219	3545
256	1221	3531
257	1224	3521
258	1225	3506
259	1228	3495
260	1230	3484
