Borough,zipcode,City,highschool_graduation_rate,College Enrollment Rate,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude
Manhattan,10002, MANHATTAN,43.0,41.0,40045,False,False,40.7134455,-73.9860332
Manhattan,10002, MANHATTAN,80.0,52.0,40045,True,False,40.7123543,-73.9840589
Manhattan,10009, MANHATTAN,82.0,69.0,71135,True,True,40.7290533,-73.98250279999999
Manhattan,10002, MANHATTAN,48.0,26.0,40045,False,False,40.720088,-73.9860332
Manhattan,10002, MANHATTAN,95.0,89.0,40045,True,True,40.7186807,-73.97952269999999
Manhattan,10002, MANHATTAN,100.0,93.0,40045,True,True,40.7180919,-73.97607459999999
Manhattan,10010, MANHATTAN,69.0,62.0,229709,False,True,40.7387769,-73.9814014
Manhattan,10019, MANHATTAN,77.0,49.0,176972,True,False,40.76563840000001,-73.9931036
Manhattan,10002, MANHATTAN,71.0,40.0,40045,True,False,40.7173452,-73.9892929
Manhattan,10019, MANHATTAN,73.0,47.0,176972,True,False,40.76563840000001,-73.9931036
Manhattan,10002, MANHATTAN,94.0,68.0,40045,True,True,40.7161943,-73.9933849
Manhattan,10019, MANHATTAN,65.0,43.0,176972,False,False,40.76563840000001,-73.9931036
Manhattan,10019, MANHATTAN,72.0,49.0,176972,True,False,40.76563840000001,-73.9931036
Manhattan,10002, MANHATTAN,87.0,69.0,40045,True,True,40.7173452,-73.9892929
Manhattan,10002, MANHATTAN,72.0,61.0,40045,True,True,40.7173452,-73.9892929
Manhattan,10004, MANHATTAN,77.0,62.0,205202,True,True,40.7055092,-74.0131178
Manhattan,10003, MANHATTAN,74.0,54.0,183787,True,True,40.73518079999999,-73.9870892
Manhattan,10013, MANHATTAN,96.0,78.0,163951,True,True,40.7246823,-74.0050859
Manhattan,10011, MANHATTAN,84.0,64.0,249545,True,True,40.7432281,-74.002426
Manhattan,10019, MANHATTAN,66.0,48.0,176972,False,False,40.76399929999999,-73.9908346
Manhattan,10003, MANHATTAN,56.0,51.0,183787,False,False,40.73518079999999,-73.9870892
Manhattan,10019, MANHATTAN,84.0,70.0,176972,True,True,40.7677451,-73.98809920000001
Manhattan,10003, MANHATTAN,90.0,84.0,183787,True,True,40.732689,-73.98258969999999
Manhattan,10036, MANHATTAN,94.0,66.0,112342,True,True,40.761226,-73.9886092
Manhattan,10010, MANHATTAN,100.0,97.0,229709,True,True,40.741968,-73.98589919999999
Manhattan,10011, MANHATTAN,96.0,79.0,249545,True,True,40.74250989999999,-74.0022418
Manhattan,10010, MANHATTAN,91.0,78.0,229709,True,True,40.7391109,-73.9853486
Manhattan,10011, MANHATTAN,97.0,81.0,249545,True,True,40.74250989999999,-74.0022418
Manhattan,10021, MANHATTAN,100.0,89.0,240453,True,True,40.7702849,-73.9532948
