DBN,School Name,Borough,zipcode,Primary_Address_Line_1,City,State_Code,highschool_graduation_rate,Borough_Highschool_graduation_rate,College Enrollment Rate,Borough College Enrollment Rate,has_data,Median income,IsExceedingBoroughHighSchoolGraduationRate,IsExceedingBoroughCollegeEnrollmentRate,Latitude,Longitude,Address
01M292,Henry Street School for International Studies,Manhattan,10002,220 HENRY STREET, MANHATTAN,NY,43.0,70,41.0,53,True,40045,False,False,40.7134455,-73.9860332,"220 HENRY STREET,  MANHATTAN, NY"
01M448,University Neighborhood High School,Manhattan,10002,200 MONROE STREET, MANHATTAN,NY,80.0,70,52.0,53,True,40045,True,False,40.7123543,-73.9840589,"200 MONROE STREET,  MANHATTAN, NY"
01M450,East Side Community School,Manhattan,10009,420 EAST 12 STREET, MANHATTAN,NY,82.0,70,69.0,53,True,71135,True,True,40.7290533,-73.98250279999999,"420 EAST 12 STREET,  MANHATTAN, NY"
01M509,Marta Valle High School,Manhattan,10002,145 STANTON STREET, MANHATTAN,NY,48.0,70,26.0,53,True,40045,False,False,40.720088,-73.9860332,"145 STANTON STREET,  MANHATTAN, NY"
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,10002,111 COLUMBIA STREET, MANHATTAN,NY,95.0,70,89.0,53,True,40045,True,True,40.7186807,-73.97952269999999,"111 COLUMBIA STREET,  MANHATTAN, NY"
01M696,Bard High School Early College,Manhattan,10002,525 EAST HOUSTON STREET, MANHATTAN,NY,100.0,70,93.0,53,True,40045,True,True,40.7180919,-73.97607459999999,"525 EAST HOUSTON STREET,  MANHATTAN, NY"
02M047,47 The American Sign Language and English Secondary School,Manhattan,10010,223 EAST 23 STREET, MANHATTAN,NY,69.0,70,62.0,53,True,229709,False,True,40.7387769,-73.9814014,"223 EAST 23 STREET,  MANHATTAN, NY"
02M288,Food and Finance High School,Manhattan,10019,525 WEST 50TH STREET, MANHATTAN,NY,77.0,70,49.0,53,True,176972,True,False,40.76563840000001,-73.9931036,"525 WEST 50TH STREET,  MANHATTAN, NY"
02M294,Essex Street Academy,Manhattan,10002,350 GRAND STREET, MANHATTAN,NY,71.0,70,40.0,53,True,40045,True,False,40.7173452,-73.9892929,"350 GRAND STREET,  MANHATTAN, NY"
02M296,High School of Hospitality Management,Manhattan,10019,525 WEST 50TH STREET, MANHATTAN,NY,73.0,70,47.0,53,True,176972,True,False,40.76563840000001,-73.9931036,"525 WEST 50TH STREET,  MANHATTAN, NY"
02M298,Pace High School,Manhattan,10002,100 HESTER STREET, MANHATTAN,NY,94.0,70,68.0,53,True,40045,True,True,40.7161943,-73.9933849,"100 HESTER STREET,  MANHATTAN, NY"
02M300,"Urban Assembly School of Design and Construction, The",Manhattan,10019,525 WEST 50TH STREET, MANHATTAN,NY,65.0,70,43.0,53,True,176972,False,False,40.76563840000001,-73.9931036,"525 WEST 50TH STREET,  MANHATTAN, NY"
02M303,"Facing History School, The",Manhattan,10019,525 WEST 50TH STREET, MANHATTAN,NY,72.0,70,49.0,53,True,176972,True,False,40.76563840000001,-73.9931036,"525 WEST 50TH STREET,  MANHATTAN, NY"
02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,10002,350 GRAND STREET, MANHATTAN,NY,87.0,70,69.0,53,True,40045,True,True,40.7173452,-73.9892929,"350 GRAND STREET,  MANHATTAN, NY"
02M308,Lower Manhattan Arts Academy,Manhattan,10002,350 GRAND STREET, MANHATTAN,NY,72.0,70,61.0,53,True,40045,True,True,40.7173452,-73.9892929,"350 GRAND STREET,  MANHATTAN, NY"
02M316,"Urban Assembly School of Business for Young Women, the",Manhattan,10004,26 BROADWAY, MANHATTAN,NY,77.0,70,62.0,53,True,205202,True,True,40.7055092,-74.0131178,"26 BROADWAY,  MANHATTAN, NY"
02M374,Gramercy Arts High School,Manhattan,10003,40 IRVING PLACE, MANHATTAN,NY,74.0,70,54.0,53,True,183787,True,True,40.73518079999999,-73.9870892,"40 IRVING PLACE,  MANHATTAN, NY"
02M376,NYC iSchool,Manhattan,10013,131 AVENUE OF THE AMERICAS, MANHATTAN,NY,96.0,70,78.0,53,True,163951,True,True,40.7246823,-74.0050859,"131 AVENUE OF THE AMERICAS,  MANHATTAN, NY"
02M392,MANHATTAN BUSINESS ACADEMY,Manhattan,10011,351 WEST 18 STREET, MANHATTAN,NY,84.0,70,64.0,53,True,249545,True,True,40.7432281,-74.002426,"351 WEST 18 STREET,  MANHATTAN, NY"
02M393,BUSINESS OF SPORTS SCHOOL,Manhattan,10019,439 WEST 49TH STREET, MANHATTAN,NY,66.0,70,48.0,53,True,176972,False,False,40.76399929999999,-73.9908346,"439 WEST 49TH STREET,  MANHATTAN, NY"
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Manhattan,10003,40 IRVING PLACE, MANHATTAN,NY,56.0,70,51.0,53,True,183787,False,False,40.73518079999999,-73.9870892,"40 IRVING PLACE,  MANHATTAN, NY"
02M400,High School for Environmental Studies,Manhattan,10019,444 WEST 56 STREET, MANHATTAN,NY,84.0,70,70.0,53,True,176972,True,True,40.7677451,-73.98809920000001,"444 WEST 56 STREET,  MANHATTAN, NY"
02M407,Institute for Collaborative Education,Manhattan,10003,345 EAST 15TH STREET, MANHATTAN,NY,90.0,70,84.0,53,True,183787,True,True,40.732689,-73.98258969999999,"345 EAST 15TH STREET,  MANHATTAN, NY"
02M408,Professional Performing Arts High School,Manhattan,10036,328 WEST 48 STREET, MANHATTAN,NY,94.0,70,66.0,53,True,112342,True,True,40.761226,-73.9886092,"328 WEST 48 STREET,  MANHATTAN, NY"
02M411,Baruch College Campus High School,Manhattan,10010,55 EAST 25 STREET, MANHATTAN,NY,100.0,70,97.0,53,True,229709,True,True,40.741968,-73.98589919999999,"55 EAST 25 STREET,  MANHATTAN, NY"
02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,10011,333 WEST 17 STREET, MANHATTAN,NY,96.0,70,79.0,53,True,249545,True,True,40.74250989999999,-74.0022418,"333 WEST 17 STREET,  MANHATTAN, NY"
02M413,School of the Future High School,Manhattan,10010,127 EAST 22 STREET, MANHATTAN,NY,91.0,70,78.0,53,True,229709,True,True,40.7391109,-73.9853486,"127 EAST 22 STREET,  MANHATTAN, NY"
02M414,N.Y.C. Museum School,Manhattan,10011,333 WEST 17 STREET, MANHATTAN,NY,97.0,70,81.0,53,True,249545,True,True,40.74250989999999,-74.0022418,"333 WEST 17 STREET,  MANHATTAN, NY"
02M416,Eleanor Roosevelt High School,Manhattan,10021,411 EAST 76 STREET, MANHATTAN,NY,100.0,70,89.0,53,True,240453,True,True,40.7702849,-73.9532948,"411 EAST 76 STREET,  MANHATTAN, NY"
02M418,Millennium High School,Manhattan,10004,75 BROAD STREET, MANHATTAN,NY,99.0,70,88.0,53,True,205202,True,True,40.70473,-74.0114523,"75 BROAD STREET,  MANHATTAN, NY"
02M419,Landmark High School,Manhattan,10011,351 WEST 18 STREET, MANHATTAN,NY,66.0,70,35.0,53,True,249545,False,False,40.7432281,-74.002426,"351 WEST 18 STREET,  MANHATTAN, NY"
02M420,High School for Health Professions and Human Services,Manhattan,10003,345 EAST 15TH STREET, MANHATTAN,NY,90.0,70,76.0,53,True,183787,True,True,40.732689,-73.98258969999999,"345 EAST 15TH STREET,  MANHATTAN, NY"
02M425,Leadership and Public Service High School,Manhattan,10006,90 TRINITY PLACE, MANHATTAN,NY,64.0,70,41.0,53,True,245764,False,False,40.708961,-74.01243099999999,"90 TRINITY PLACE,  MANHATTAN, NY"
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan,10016,111 EAST 33RD STREET, MANHATTAN,NY,49.0,70,50.0,53,True,206816,False,False,40.7463061,-73.9811402,"111 EAST 33RD STREET,  MANHATTAN, NY"
