Zipcode,Median income
6390,61125
10001,122776
10002,40045
10003,183787
10004,205202
10005,241094
10006,245764
10007,"250,000+"
10009,71135
10010,229709
10011,249545
10012,151028
10013,163951
10014,224625
10016,206816
10017,218875
10018,185688
10019,176972
10020,-
10021,240453
10022,"250,000+"
10023,228389
10024,246034
10025,133439
10026,66157
10027,58680
10028,237537
10029,39845
10030,53586
10031,54699
10032,58919
10033,66075
10034,56284
10035,36645
10036,112342
10037,51536
10038,93156
10039,44253
10040,56530
10044,121453
10065,246005
10069,200150
10075,177237
10103,-
10110,-
10111,-
10112,-
10115,-
10119,-
10128,192940
10152,-
10153,-
10154,-
10162,"250,000+"
10165,-
10167,-
10168,-
10169,-
10170,-
10171,-
10172,-
10173,-
10174,-
10177,-
10199,-
10271,-
10278,-
10279,-
10280,247627
10282,"250,000+"
10301,82267
10302,93750
10303,74187
10304,73135
10305,95406
10306,96131
10307,113839
10308,113498
10309,126350
10310,90379
10311,-
10312,113327
10314,107154
10451,37332
10452,35155
10453,33760
10454,30076
10455,33920
10456,35269
10457,38096
10458,38624
10459,35536
10460,33282
10461,68066
10462,59538
10463,66470
10464,132596
10465,95996
10466,67912
10467,46530
10468,41488
10469,73973
10470,71506
10471,114241
10472,38655
10473,51096
10474,25429
10475,67383
10501,216471
10502,225500
10503,-
10504,229962
10505,161827
10506,246917
10507,74896
10509,125544
10510,207639
10511,112232
10512,120897
10514,"250,000+"
10516,138350
10517,109000
10518,203423
10519,156411
10520,149901
10522,174038
10523,110962
10524,124840
10526,158594
10527,193125
10528,156600
10530,159935
10532,141125
10533,211250
10535,-
10536,215033
10537,105953
10538,247819
10541,130905
10543,135913
10545,-
10546,237760
10547,136362
10548,123571
10549,134701
10550,64676
10552,102125
10553,91167
10560,177796
10562,100929
10566,80020
10567,149826
10570,167147
10573,98727
10576,205417
10577,215962
10578,112180
10579,123750
10580,248073
10583,"250,000+"
10588,127517
10589,146517
10590,165028
10591,113000
10594,183902
10595,150833
10596,76250
10597,"250,000+"
10598,145536
10601,97813
10603,116671
10604,109265
10605,150943
10606,98364
10607,155464
10701,54677
10703,81480
10704,91105
10705,64230
10706,194444
10707,154286
10708,168258
10709,168056
10710,107143
10801,81658
10803,185183
10804,214333
10805,80051
10901,124097
10910,-
10911,-
10913,166818
10914,115000
10915,-
10916,110083
10917,116157
10918,118462
10919,106667
10920,141892
10921,104198
10922,88885
10923,87412
10924,122430
10925,110824
10926,96042
10927,74490
10928,109898
10930,142146
10931,74167
10932,-
10933,95673
10940,78684
10941,92016
10950,80723
10952,63060
10953,-
10954,137955
10956,158715
10958,111563
10960,117500
10962,146823
10963,89389
10964,"250,000+"
10965,130815
10968,133393
10969,124737
10970,98370
10973,132500
10974,118944
10975,-
10976,127250
10977,59592
10979,-
10980,124628
10983,127188
10984,128984
10985,-
10986,156563
10987,178875
10988,112813
10989,129901
10990,129531
10992,124327
10993,68438
10994,176101
10996,110250
10998,92212
11001,134087
11003,107141
11004,110406
11005,139313
11010,124366
11020,165096
11021,150833
11023,147279
11024,129706
11030,240108
11040,142316
11042,-
11050,167274
11096,67726
11101,82636
11102,75440
11103,81250
11104,76895
11105,90013
11106,78526
11109,199823
11201,176004
11203,68184
11204,58848
11205,60319
11206,38430
11207,51643
11208,50726
11209,101737
11210,80453
11211,63639
11212,41115
11213,51262
11214,64478
11215,170511
11216,79242
11217,145365
11218,80422
11219,41839
11220,47150
11221,61331
11222,105557
11223,65254
11224,43584
11225,65968
11226,65178
11228,84054
11229,81481
11230,66240
11231,141500
11232,58913
11233,48545
11234,95976
11235,71542
11236,82853
11237,43640
11238,118291
11239,34528
11351,-
11354,47405
11355,45619
11356,66463
11357,98213
11358,78357
11359,-
11360,107188
11361,97203
11362,121625
11363,128009
11364,98424
11365,75409
11366,93913
11367,72975
11368,51779
11369,64000
11370,81712
11371,-
11372,62626
11373,58918
11374,87591
11375,109994
11377,64678
11378,87242
11379,102200
11385,76414
11411,113769
11412,94103
11413,99229
11414,89181
11415,86948
11416,75471
11417,85046
11418,72047
11419,79508
11420,82528
11421,78779
11422,92304
11423,82156
11424,-
11425,-
11426,115136
11427,96292
11428,88320
11429,97941
11430,-
11432,67198
11433,65591
11434,81641
11435,70354
11436,79740
11451,-
11501,117067
11507,139350
11509,145104
11510,135296
11514,82031
11516,130833
11518,128080
11520,97476
11530,183839
11542,97340
11545,193587
11547,130750
11548,139000
11549,-
11550,67879
11552,129514
11553,89978
11554,121409
11556,-
11557,142159
11558,143640
11559,141591
11560,170913
11561,125028
11563,134959
11565,146786
11566,164895
11568,240500
11569,184583
11570,163547
11572,139576
11575,92255
11576,222813
11577,175243
11579,164474
11580,119891
11581,136843
11590,119695
11596,162243
11598,170767
11691,61360
11692,50516
11693,66250
11694,111046
11697,123438
11701,104519
11702,150478
11703,111888
11704,106450
11705,147017
11706,99690
11709,119010
11710,151037
11713,97540
11714,137754
11715,137125
11716,118403
11717,83581
11718,140750
11719,116429
11720,122819
11721,152192
11722,90839
11724,"250,000+"
11725,151133
11726,79720
11727,102171
11729,111000
11730,145268
11731,136808
11732,159821
11733,174028
11735,137530
11738,117125
11739,163750
11740,153555
11741,124383
11742,115134
11743,159109
11746,128402
